start_time,personId,dwell_time,end_time,FPS,
11-22-2022-13-15-15,4,0 Sec,11-22-2022-13-15-16,FPS: 0.00,0
11-22-2022-13-15-16,4,0 Sec,11-22-2022-13-15-17,FPS: 2.00,1
11-22-2022-13-15-17,4,1 Sec,11-22-2022-13-15-18,FPS: 1.50,2
11-22-2022-13-15-18,4,2 Sec,11-22-2022-13-15-18,FPS: 1.33,3
11-22-2022-13-15-18,4,2 Sec,11-22-2022-13-15-19,FPS: 1.67,4
11-22-2022-13-15-19,4,3 Sec,11-22-2022-13-15-19,FPS: 1.50,5
11-22-2022-13-15-19,4,3 Sec,11-22-2022-13-15-20,FPS: 1.75,6
11-22-2022-13-15-20,4,4 Sec,11-22-2022-13-15-21,FPS: 1.60,7
11-22-2022-13-15-21,4,5 Sec,11-22-2022-13-15-21,FPS: 1.50,8
11-22-2022-13-15-21,4,5 Sec,11-22-2022-13-15-22,FPS: 1.67,9
11-22-2022-13-15-22,4,8 Sec,11-22-2022-13-15-24,FPS: 1.38,10
11-22-2022-13-15-25,4,21 Sec,11-22-2022-13-15-38,FPS: 0.55,11
11-22-2022-13-15-38,5,0 Sec,11-22-2022-13-15-43,FPS: 0.46,0
11-22-2022-13-15-43,5,0 Sec,11-22-2022-13-15-44,FPS: 0.48,1
11-22-2022-13-15-44,5,1 Sec,11-22-2022-13-15-45,FPS: 0.50,2
11-22-2022-13-15-45,5,2 Sec,11-22-2022-13-15-46,FPS: 0.52,3
11-22-2022-13-15-46,5,3 Sec,11-22-2022-13-15-47,FPS: 0.55,4
11-22-2022-13-15-47,5,4 Sec,11-22-2022-13-15-48,FPS: 0.56,5
11-22-2022-13-15-48,5,4 Sec,11-22-2022-13-15-48,FPS: 0.58,6
11-22-2022-13-15-48,5,5 Sec,11-22-2022-13-15-49,FPS: 0.61,7
11-22-2022-13-15-49,5,6 Sec,11-22-2022-13-15-49,FPS: 0.62,8
11-22-2022-13-15-49,5,6 Sec,11-22-2022-13-15-50,FPS: 0.65,9
11-22-2022-13-15-50,5,7 Sec,11-22-2022-13-15-51,FPS: 0.66,10
11-22-2022-13-15-51,5,7 Sec,11-22-2022-13-15-51,FPS: 0.67,11
11-22-2022-13-15-51,5,8 Sec,11-22-2022-13-15-52,FPS: 0.69,12
11-22-2022-13-15-52,5,9 Sec,11-22-2022-13-15-52,FPS: 0.70,13
11-22-2022-13-15-52,5,9 Sec,11-22-2022-13-15-53,FPS: 0.73,14
11-22-2022-13-15-53,5,10 Sec,11-22-2022-13-15-54,FPS: 0.74,15
11-22-2022-13-15-54,5,10 Sec,11-22-2022-13-15-54,FPS: 0.76,16
11-22-2022-13-15-54,5,11 Sec,11-22-2022-13-15-55,FPS: 0.77,17
11-22-2022-13-15-55,5,11 Sec,11-22-2022-13-15-55,FPS: 0.78,18
11-22-2022-13-15-55,5,12 Sec,11-22-2022-13-15-56,FPS: 0.80,19
11-22-2022-13-15-56,5,13 Sec,11-22-2022-13-15-56,FPS: 0.80,20
11-22-2022-13-15-56,5,13 Sec,11-22-2022-13-15-57,FPS: 0.83,21
11-22-2022-13-15-57,5,14 Sec,11-22-2022-13-15-58,FPS: 0.83,22
11-22-2022-13-15-58,5,14 Sec,11-22-2022-13-15-58,FPS: 0.84,23
11-22-2022-13-15-58,5,15 Sec,11-22-2022-13-15-59,FPS: 0.86,24
11-22-2022-13-15-59,5,16 Sec,11-22-2022-13-15-59,FPS: 0.86,25
11-22-2022-13-15-59,5,16 Sec,11-22-2022-13-16-00,FPS: 0.89,26
11-22-2022-13-16-00,5,17 Sec,11-22-2022-13-16-01,FPS: 0.89,27
11-22-2022-13-16-01,5,17 Sec,11-22-2022-13-16-01,FPS: 0.89,28
11-22-2022-13-16-01,5,18 Sec,11-22-2022-13-16-02,FPS: 0.91,29
11-22-2022-13-16-02,5,19 Sec,11-22-2022-13-16-02,FPS: 0.91,30
11-22-2022-13-16-02,5,19 Sec,11-22-2022-13-16-03,FPS: 0.94,31
11-22-2022-13-16-03,5,20 Sec,11-22-2022-13-16-04,FPS: 0.94,32
11-22-2022-13-16-04,5,20 Sec,11-22-2022-13-16-04,FPS: 0.96,33
11-22-2022-13-16-04,5,21 Sec,11-22-2022-13-16-05,FPS: 0.96,34
